# ----------------------------------------
# E-commerce purchases: Item name
# Account: Twin Birds UA
# Property: Twin Birds GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251101
# End date: 20260505
Item name,Items viewed,Items added to cart,Items purchased,Item revenue
Cotton Churidar Legging - La Burgandy - 2XL / La Burgandy,34,35,0,0
Cotton Churidar Legging - Mocha Bean - L / Mocha Bean,34,11,0,0
Embroidered Rib Tee -Black,34,1,0,0
Floral Printed Co-ord Set - Madder Brown - 2XL / Madder Brown,34,30,0,0
Kids Cotton Capri Legging - Navy Classic - 22 / Navy Classic,34,6,0,0
Sleek Kurti Pant - Cinnamon - 3XL / Cinnamon,34,18,0,0
Sleeveless Ribbed Tee - Black,34,1,0,0
Solid Night Pant - Cherry berry - M / Cherry berry,34,19,0,0
Solid Wide Leg Palazzo - Lip Stick - 2XL / Lip Stick,34,65,0,0
Spaghetti Cami With Adjuster - Natural Skin - M / Natural Skin,34,4,0,0
Straight Fit Saree Shaper - Pink Champagne - 3XL / Pink Champagne,34,24,0,0
Striped Palazzo - Nimbus Fade - S / Nimbus Fade,34,0,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Magic Garden,34,0,0,0
Viscose Churidar Legging - Dark Chocolate - 3XL / Dark Chocolate,34,10,0,0
Viscose Churidar Legging - Sugar Cookie - L / Sugar Cookie,34,7,0,0
Viscose Kurti Pant - Navy Ribbon - 3XL / Navy Ribbon,34,182,0,0
Women Denim Jean - Kansas 40 - L / Kansas 40,34,5,0,0
Classic Polo Tee -Black,33,0,0,0
Cotton Ankle Legging - Flirty Flamingo - M / Flirty Flamingo,33,5,0,0
Cotton Capri Legging - Butter Scotch - 2XL / Butter Scotch,33,105,0,0
Cotton Churidar Legging - Lava Red - L / Lava Red,33,11,0,0
Cotton Churidar Legging - Mehandi Maroon - L / Mehandi Maroon,33,17,0,0
Cotton Churidar Legging - Navy Classic - L / Navy Classic,33,18,0,0
Flexi Kurti Pant - Sugar Cookie - XL / Sugar Cookie,33,76,0,0
Floral Printed Co-ord Set - Madder Brown - XL / Madder Brown,33,27,0,0
Georgette Shrug - S / Golden Brown Shrug,33,0,0,0
High Waist Denim Jeans - Pearl White - M / Pearl White,33,29,0,0
Kids Cotton Ankle Legging - 20 / La Burgandy,33,3,0,0
Kids Secura shorts - Cherry Berry - 2XL / Cherry Berry,33,1,0,0
Knotted Striped Palazzo - Cream Knots - S / Cream Knots,33,0,0,0
Knotted Striped Palazzo - Cuban Sand - 2XL / Cuban Sand,33,5,0,0
Relaxed fit tee - Garnet Rose - 2XL / Garnet Rose,33,35,0,0
Ribbed Crop Top - Light Brown,33,0,0,0
Saree Shaper - Blue Diamond - 3XL / Blue Diamond / Regular - Upto 5'4,33,57,0,0
Sleeveless Ribbed Tee - Baby Blue,33,4,0,0
Solid Wide Leg Palazzo - Pool Side - 2XL / Pool Side,33,40,0,0
Stretch Sports Vest Reversible - White - M / White,33,16,0,0
Textured Night Pant - Green Smoke - 2XL / Green Smoke,33,34,0,0
Viscose Ankle Legging -PastelPurple - M / PastelPurple,33,9,0,0
Casual Shirt - Black & White - S / Black&white,32,0,0,0
Coloured Jegging - Caramel custard - 2XL / Caramel custard,32,19,0,0
Cotton Ankle Legging - Carbon Black - 2XL / Carbon Black,32,211,0,0
Cotton Ankle Legging - Eiffel Tower - 2XL / Eiffel Tower,32,14,0,0
Cotton Ankle Legging - MintOlive - L / MintOlive,32,4,0,0
Cotton Churidar Legging - Fuchsia Violet - L / Fuchsia Violet,32,6,0,0
High Neck Oversize Crop Top - White - S / White,32,0,0,0
Leaf Printed Co-ord Set - Burgundy Loungewear - L / Burgandy,32,13,0,0
Relaxed fit tee - Garnet Rose - M / Garnet Rose,32,42,0,0
Relaxed fit tee - Sky writing - M / Sky writing,32,10,0,0
Shimmer Legging - Red Velvet - XL / Red Velvet,32,52,0,0
Skirt Shaper - Vanilla - 3XL / Vanilla,32,6,0,0
Slim Fit Signature Tee - Carbon Black - L / Carbon Black,32,5,0,0
Slim Fit Signature Tee - Pearl White,32,2,1,398.999967
Sweat Shirt - Olive,32,0,0,0
Viscose Ankle Legging - Crimson Red - 2XL / Crimson Red,32,24,0,0
Viscose Ankle Legging - GreenTurtle - M / GreenTurtle,32,0,0,0
Viscose Ankle Legging - Tomato red - XL / Tomato Red,32,21,0,0
Viscose Churidar Legging - Pistachio - 2XL / Pistachio,32,11,0,0
Viscose Churidar Legging - Rosewood - M / Rosewood,32,10,0,0
Bamboo Modal Churidar Legging - White - 2XL / White,31,23,0,0
Coloured Jegging - Jungle Green - XL / Jungle Green,31,8,0,0
Cotton Ankle Legging - Mocha Bean - L / Mocha Bean,31,8,0,0
Cotton Ankle Legging - New Leaf - M / New Leaf,31,23,0,0
Cotton Ankle Legging - Peacock Blue - M / Peacock Blue,31,6,0,0
Cotton Churidar Legging - Mystic Pink - 3XL / Mystic Pink,31,53,0,0
Cotton Churidar Legging - New Leaf - 2XL / New Leaf,31,19,0,0
Crop Top - Black - L / Black,31,4,0,0
Flexi Indigo Jegging - Anthrazite Grey - M / Anthrazite Grey,31,1,0,0
Kids Cotton Ankle Legging - Carbon Black - 24 / Carbon Black,31,29,0,0
Kids Cotton Ankle Legging - Orange Tango,31,4,0,0
Kids Cotton Capri Legging - Lucky Bamboo - 26 / Lucky Bamboo,31,5,0,0
Linen Straight Pant - Beige - XL / Beige,31,62,0,0
Metallic Straight Pant - Queen Bee - XL / Queen Bee,31,68,0,0
Oversized Texture Shirt Pink Sand,31,1,0,0
Red Heart Printed Night Pants - Off - white - L / Shell,31,8,0,0
Relaxed fit tee - Mocha Mouse - XS / Mocha Mouse,31,0,0,0
Saree Shaper - Red Velvet - XL / Red Velvet / Tall - Above 5'5,31,71,0,0
Shimmer Legging - Black Pearl - XL / Black Pearl,31,113,0,0
Solid Sports Bra - Light Grey - M / Light Grey,31,4,0,0
Straight Fit Saree Shaper - Silver Coin - M / Silver Coin,31,7,0,0
Sweat Shirt - Light Pink,31,2,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Cherry Berry - L / Cherry Berry,31,48,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Fiery Orange - L / Fiery Orange,31,8,0,0
Viscose Ankle Legging - Terracota - M / Terracota,31,7,0,0
Viscose Kurti Pant - Stone Green - 4XL / Stone Green,31,141,0,0
Women Denim Jean - Miami 90 - L / Miami 90,31,22,0,0
Active T-Shirt - Carbon Grey - M / Carbon Grey,30,6,0,0
Coloured Jegging - Pink punch - M / Pink punch,30,2,0,0
Cotton Ankle Legging - Carbon Black - XL / Carbon Black,30,241,0,0
Cotton Churidar Legging - Carbon Black - M / Carbon Black,30,49,0,0
Cotton Churidar Legging - Eiffel Tower - 2XL / Eiffel Tower,30,5,0,0
Cotton Churidar Legging - Olive - M / Olive,30,9,0,0
Cotton Churidar Legging - Pink Paradise - L / Pink Paradise,30,20,0,0
Cotton Kurti Pant - Pearl White - 2XL / Peal White,30,108,0,0
Cotton Kurti Pant - Sandy Beach - L / Sandy Beach,30,38,0,0
Cotton Stretch Straight Pant - Bubble Gum - M / Bubble Gum,30,10,0,0
Crop Top - Cinnamon,30,0,0,0
Kids Secura Shorts - Natural Skin - M / Skin,30,18,0,0
Linen Straight Pant - Black - L / Black,30,19,0,0
Metallic Straight Pant - Queen Bee - L / Queen Bee,30,32,0,0
Pleated Skirt - Raven,30,0,0,0
Round Neck Rib Tee Black,30,0,0,0
Secura Shorts - Carbon Black - M / Carbon Black,30,4,0,0
Shimmer Legging - Watermelon - 2XL / Watermelon,30,52,0,0
Sleek Kurti Pant - Mint Olive - 2XL / Mint Olive,30,5,0,0
Solid Wide Leg Palazzo - Sweet Corn - M / Sweet Corn,30,14,0,0
Viscose Ankle Legging - BottleGreen - L / BottleGreen,30,15,0,0
Viscose Ankle Legging - BottleGreen - M / BottleGreen,30,7,0,0
Viscose Ankle Legging - Wild Orchid - 2XL / Wild Orchid,30,30,0,0
Viscose Churidar Legging - Rose Red - L / Rose Red,30,3,0,0
Basic V-Neck Tee - White,29,1,0,0
Casual Shirt - Light Maroon - S / Light maroon,29,0,0,0
Cotton Ankle Legging - Mystic Pink - 2XL / Mystic Pink,29,8,0,0
Cotton Ankle Legging - Olive - XL / Olive,29,25,0,0
Cotton Churidar Legging - Pumpkin Puree - L / Pumpkin Puree,29,6,0,0
Flexi Indigo Jegging - Black Cat 000 - M / Black Cat 000,29,12,0,0
Flexi Indigo Jegging - Pearl White - L / Pearl White,29,6,0,0
Georgette Shrug - S / Orange Shrug,29,0,0,0
Kids Cotton Capri Legging - Butter Scotch - 30 / Butter Scotch,29,23,0,0
Koala Printed Co-ord Pants Set - Black - XS / Jet Black,29,0,0,0
Long Tee - Dark Chocolate - L / LT0034 - Dark Chocolate,29,5,0,0
Metallic Straight Pant - Navy Horizon - XL / Navy Horizon,29,57,0,0
Plum Blossom printed Night Pants - Rythmic Red - XS / Rythmic Red,29,0,0,0
Ruffle Top - Mehandi Maroon - XL / Mehandi Maroon,29,9,0,0
Shimmer Legging - Curious Copper - M / Curious Copper,29,15,0,0
Shimmer Legging - Watermelon - M / Watermelon,29,22,0,0
Sleek Spaghetti Cami With Adjuster - Skin - XL / Skin,29,1,0,0
Solid Sports Bra - Carbon Black - M / Carbon Black,29,7,0,0
Solid Wide Leg Palazzo - Anthrazite Grey - L / Anthrazite Grey,29,34,0,0
Solid Wrinkle Dress - Mustard - 3XL / Mustard,29,0,0,0
Star Printed Night Pants - Blue - S / Blue,29,1,0,0
Striped Palazzo - Moon Quarry - S / Moon Quarry,29,0,0,0
Teddy Printed Collared Co-ord Set- Maple Syrup - M / Maple Syrup,29,12,0,0
Textured Night Pant - Elephant Grey - L / Elephant Grey,29,64,0,0
Viscose Ankle Legging - Blue Ocean - XL / Blue Ocean,29,6,0,0
Viscose Ankle Legging - Swimming Pool - 2XL / Swimming Pool,29,14,0,0
Viscose Churidar Legging - Black Plus - 2XL / Black Plus,29,39,0,0
Viscose Churidar Legging - Dark Chocolate - M / Dark Chocolate,29,2,0,0
Viscose Churidar Legging - Poolside,29,4,0,0
Viscose Churidar Legging - White Plus - M / White Plus,29,15,0,0
Cami with Adjuster - Pearl White - 80 / Pearl White,28,14,0,0
Coloured Jegging - Dark Black - 2XL / Dark Black,28,23,0,0
Cotton Ankle Legging - Grey Smoke - L / Grey Smoke,28,9,0,0
Cotton Capri Legging - Ink Blue - L / Ink Blue,28,12,0,0
Cotton Churidar Legging - Bay Breeze - 3XL / Bay Breeze,28,23,0,0
Cotton Churidar Legging - Blue Heaven - 3XL / Blue Heaven,28,7,0,0
Cotton Churidar Legging - Citron Yellow - M / Citron Yellow,28,10,0,0
Cotton Churidar Legging - Mystic Pink - 2XL / Mystic Pink,28,53,0,0
Cotton Stretch Straight Pant - Bubble Gum - 3XL / Bubble Gum,28,35,0,0
Kids Cotton Capri Legging - 28 / Bubble Gum,28,13,0,0
Kids Secura shorts - Cherry Berry - S / Cherry Berry,28,8,0,0
Lounge Wear Long Tee - Beige - XS / LT0018 - Beige,28,0,0,0
Saree Shaper - Red Velvet - 3XL / Red Velvet / Regular - Upto 5'4,28,145,0,0
Shimmer Legging - Blue Diamond - 2XL / Blue Diamond,28,70,0,0
Shimmer Legging - Green Glitter - XL / Green Glitter,28,36,0,0
Sleeveless Ribbed Tee - Baby Blue - S / Baby Blue,28,1,0,0
Sleeveless Ribbed Tee - White - 2XL / White,28,3,0,0
Straight Fit Saree Shaper - Gold Dust - XL / Gold Dust,28,23,0,0
Viscose Ankle Legging - Terracota - L / Terracota,28,13,0,0
Viscose Churidar Legging - Plum Jam - XL / Plum Jam,28,4,0,0
Viscose Kurti Pant - PoolSide - M / PoolSide,28,39,0,0
Bamboo Modal Ankle Legging - Black - 2XL / Black,27,23,0,0
Cami with Adjuster - Carbon Black - 95 / Carbon Black,27,13,0,0
Contrast Collar Tee -  White,27,0,0,0
Cotton Ankle Legging - Amber Flower - 2XL / Amber Flower,27,182,0,0
Cotton Ankle Legging - Amber Flower - M / Amber Flower,27,134,0,0
Cotton Ankle Legging - Flirty Flamingo - XL / Flirty Flamingo,27,11,0,0
Cotton Ankle Legging - Grey Smoke - XL / Grey Smoke,27,8,0,0
Cotton Ankle Legging - Pearl white - 3XL / Pearl White,27,146,0,0
Cotton Churidar Legging - Green Grass - 3XL / Green Grass,27,9,0,0
Cotton Churidar Legging - Peacock Blue - XL / Peacock Blue,27,12,0,0
Cotton Churidar Legging - Rare Jade - 3XL / Rare Jade,27,8,0,0
Cotton Churidar Legging - Rosy Lips - L / Rosy Lips,27,10,0,0
Flexi Indigo Jegging - Pearl White - M / Pearl White,27,9,0,0
Flexi Kurti Pant - Steel Grey - 2XL / Steel Grey,27,53,0,0
Georgette Skirt - S / Pink Dotted,27,0,0,0
Jogger - Off White - M / Off White,27,7,0,0
Kids Cotton Capri Legging - Butter Scotch - 36 / Butter Scotch,27,14,0,0
Kids Cotton Capri Legging - Navy Classic - 28 / Navy Classic,27,15,0,0
Kids Secura shorts - Anthrazite Grey - L / Anthrazite Grey,27,24,0,0
Metallic Straight Pant - Queen Bee - 2XL / Queen Bee,27,78,0,0
Pleated Skirt - Raven - S / Raven,27,0,0,0
Ribbed Crop Top - Wine - L / Wine,27,1,0,0
Sleek Kurti Pant - Caramel Custard - 3XL / Caramel Custard,27,39,0,0
Sleek Kurti Pant - Carbon Black - 3XL / Carbon Black,27,79,0,0
Solid Wide Leg Palazzo - Navy Ribbon - XL / Navy Ribbon,27,85,0,0
Strawberry Printed Striped  Co-ord Set - Salsa Rosa - M / Salsa Rosa,27,4,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Rose Red - M / Rose Red,27,20,0,0
Viscose Ankle Legging - Bumble Bee - 2XL / Bumble Bee,27,6,0,0
Viscose Ankle Legging - Honey Mustard,27,2,0,0
Viscose Churidar Legging - Moss Plant - XL / Moss Plant,27,33,0,0
Viscose Churidar Legging - Mulberry - L / Mulberry,27,3,0,0
Viscose Churidar Legging - Newleaf,27,0,0,0
Viscose Churidar Legging - Rose Red - 2XL / Rose Red,27,8,0,0
Viscose Churidar Legging - White Plus - 3XL / White Plus,27,59,0,0
Viscose Churidar Legging - White Plus - L / White Plus,27,29,0,0
Avacado Printed Collared Co-ord Set - Aloe Wash - M / Aloe Wash,26,6,0,0
Beach Elements Printed Co-ord Set - Navy Peony - L / Navy Peony,26,33,0,0
Casual Shirt - Sand cream - XL / Sand cream,26,1,0,0
Coloured Jegging - White plus - M / White Plus,26,0,0,0
Cotton Ankle Legging - Caro Teen - L / Caro Teen,26,8,0,0
Cotton Ankle Legging - Mid Lavander - M / Mid Lavander,26,9,0,0
Cotton Ankle Legging - OrchidLilac - 2XL / OrchidLilac,26,10,0,0
Cotton Churidar Legging - Golden Brown - M / Golden Brown,26,27,0,0
Cotton Churidar Legging - Mid Blue - 3XL / Mid Blue,26,18,0,0
Cotton Churidar Legging - Olive - XL / Olive,26,23,0,0
Cotton Stretch Straight Pant - Bright White - 3XL / Bright White,26,85,0,0
Flexi Indigo Jegging - Black Cat 000 - L / Black Cat 000,26,14,0,0
Flexi Kurti Pant - Sugar Cookie - M / Sugar Cookie,26,31,0,0
Georgette Shrug - S / Brown Shrug,26,0,0,0
Kids Cotton Ankle Legging - 20 / Orange Tango,26,0,0,0
Kids Cotton Capri Legging - Lip Stick - 32 / Lip Stick,26,6,0,0
Oversized Texture Shirt Wavy Navy,26,1,1,599.000041
Saree Shaper - Red Velvet - 2XL / Red Velvet / Tall - Above 5'5,26,79,0,0
Saree Shaper - Sun Shine - 2XL / Sun Shine / Regular - Upto 5'4,26,46,0,0
Sleek Kurti Pant - Pool Side - 3XL / Pool Side,26,38,0,0
Sleeveless Ribbed Tee - Pale Pink - XL / Pale Pink,26,5,0,0
Solid Night Pant - Black - M / Black,26,38,0,0
Solid Sports Bra - Pearl White - L / Pearl White,26,12,0,0
Straight Fit Saree Shaper - Glam Pink - 2XL / Glam Pink,26,24,0,0
Textured Night Pant - Black - L / Black,26,46,0,0
Turtle Neck Ribbed Tee - White - M / White,26,4,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Swimming Pool - XL / Swimming Pool,26,3,0,0
Viscose Ankle Legging - Rose Red - XL / Rose Red,26,5,0,0
Viscose Churidar Legging - Honey Mustard - 3XL / Honey Mustard,26,10,0,0
Viscose Kurti Pant - ButterScotch - M / ButterScotch,26,107,0,0
Viscose Kurti Pant - Navy Ribbon - 2XL / Navy Ribbon,26,231,0,0
Bamboo Modal Churidar Legging - White - 3XL / White,25,26,0,0
Basic V-Neck Tee - Grape Vine - 2XL / Grape Vine,25,23,0,0
Cotton Ankle Legging - Navy Classic - L / Navy Classic,25,29,0,0
Cotton Ankle Legging - Robin Blue - M / Robin Blue,25,3,0,0
Cotton Churidar Legging - Fired Up - XL / Fired Up,25,10,0,0
Cotton Churidar Legging - Ivory Snow - M / Ivory Snow,25,5,0,0
Cotton Churidar Legging - Mint Olive - 3XL / Mint Olive,25,31,0,0
Cotton Kurti Pant - Bubble Gum - 2XL / Bubble Gum,25,62,0,0
Cotton Kurti Pant - Bubble Gum - 3XL / Bubble Gum,25,53,0,0
Cotton Kurti Pant - Deep Vine - 3XL / Deep Vine,25,21,0,0
Cotton Stretch Straight Pant - Bright White - XL / Bright White,25,48,0,0
Cotton Stretch Straight Pant - Deep Navy - XL / Deep Navy,25,12,0,0
Heart printed Night Pants - Rose Cloud - M / Rose Cloud,25,2,0,0
Heart printed Night Pants - Rose Cloud - S / Rose Cloud,25,3,0,0
Kids Secura Shorts - Natural Skin - L / Skin,25,10,0,0
Shimmer Legging - Valentine - L / Valentine,25,32,0,0
Skirt Shaper - Vanilla - L / Vanilla,25,21,0,0
Solid Cotton Straight Pant - Sugar Cookie - L / Sugar Cookie,25,6,0,0
Solid Night Pant - Cherry berry - 2XL / Cherry berry,25,73,0,0
Turtle Neck Ribbed Tee - XL / Wild Rose,25,6,0,0
Viscose Ankle Legging - Candle Light - XL / Candle Light,25,21,0,0
Viscose Ankle Legging - Honey Mustard - XL / Honey Mustard,25,0,0,0
Viscose Ankle Legging - Navy Ribbon - L / Navy Ribbon,25,15,0,0
Viscose Ankle Legging - Rosewood - L / Rosewood,25,3,0,0
Viscose Churidar Legging - Poolside - S / Poolside,25,0,0,0
Viscose Churidar Legging - Racing Red - 3XL / Racing Red,25,12,0,0
Viscose Churidar Legging - Tomato red - XL / Tomato Red,25,15,0,0
Viscose Kurti Pant - Caramel Custard - XL / Caramel Custard,25,178,0,0
Women Frill Tee With Short Sleeve - Black - S / Black,25,0,0,0
Bamboo Modal Ankle Legging - Black - M / Black,24,31,0,0
Bamboo Modal Churidar Legging - Black - XL / Black,24,20,0,0
Coloured Jegging - Mid blue - L / Mid blue,24,4,0,0
Cotton Ankle Legging - Fruity Orange - M / Fruity Orange,24,1,0,0
Cotton Ankle Legging - Ink Blue - L / Ink Blue,24,30,0,0
Cotton Ankle Legging - Navy Classic - M / Navy Classic,24,30,0,0
Cotton Ankle Legging - OrchidLilac - L / OrchidLilac,24,10,0,0
Cotton Churidar Legging - Jungle Green - M / Jungle Green,24,1,0,0
Cotton Kurti Pant - Creme De La Creme - L / Creme De La Creme,24,54,0,0
Georgette Shrug - S / Baby Pink Shrug,24,0,0,0
Georgette Shrug - S / Grey Shrug,24,0,0,0
Kids Cotton Ankle Legging - Carbon Black - 26 / Carbon Black,24,59,0,0
Kids Cotton Capri Legging - Butter Scotch - 26 / Butter Scotch,24,27,0,0
Linen Straight Pant - Navy - XL / Navy,24,32,0,0
Printed Night Pant - Salmon - S / Salmon,24,1,0,0
Relaxed fit tee - Parfait Pink - S / Parfait Pink,24,2,0,0
Saree Shaper - Red Velvet - M / Red Velvet / Tall - Above 5'5,24,42,0,0
Sleeveless Ribbed Tee - Pale Pink,24,3,0,0
Solid Night Shorts - Light Grey - M / Light Grey,24,11,0,0
Solid Wide Leg Palazzo - Sweet Corn - L / Sweet Corn,24,13,0,0
Solid Wrinkle Dress - Mehandi Maroon - S / Mehandi Maroon,24,0,0,0
Spaghetti Cami With Adjuster - Natural Skin - XL / Natural Skin,24,14,0,0
Strawberry Printed Striped  Co-ord Set - Salsa Rosa - 2XL / Salsa Rosa,24,2,0,0
Viscose Ankle Legging - Pink Shock - M / Pink Shock,24,57,0,0
Viscose Ankle Legging - Sea Port - M / Sea Port,24,8,0,0
Viscose Churidar Legging - Moss Plant - 3XL / Moss Plant,24,71,0,0
Cotton Ankle Legging - Pure Magenta - XL / Pure Magenta,23,12,0,0
Cotton Churidar Legging - Bubble Gum - M / Bubble Gum,23,4,0,0
Cotton Churidar Legging - Butter Scotch - 2XL / Butter Scotch,23,52,0,0
Cotton Churidar Legging - Golden Brown - 3XL / Golden Brown,23,125,0,0
Cotton Churidar Legging - Polar Smoke - 2XL / Polar Smoke,23,13,0,0
Cotton Churidar Legging - Rose Gold - XL / Rose Gold,23,14,0,0
Cotton Churidar Legging - Sky Fall - 3XL / Sky Fall,23,11,0,0
Cotton Kurti Pant - Caramel Custard - XL / Caramel Custard,23,77,0,0
Cotton Kurti Pant - La Burgandy - 3XL / La Burgandy,23,48,0,0
Kids Cotton Ankle Legging - 20 / Lucky Bamboo,23,0,0,0
Kids Cotton Ankle Legging - Orange Tango - 34 / Orange Tango,23,1,0,0
Kids Secura shorts - Anthrazite Grey - S / Anthrazite Grey,23,15,0,0
Pleated Skirt - Dove - S / Dove,23,0,0,0
Saree Shaper - Glam Pink - 3XL / Glam Pink / Tall - Above 5'5,23,54,0,0
Saree Shaper - Gold Mine - 2XL / Gold Mine / Regular - Upto 5'4,23,402,0,0
Saree Shaper - Gold Mine - M / Gold Mine / Regular - Upto 5'4,23,235,0,0
Saree Shaper - Magic Maroon - M / Magic Maroon / Regular - Upto 5'4,23,62,0,0
Shimmer Legging - Gold Dust - 2XL / Gold Dust,23,54,0,0
Sleek Kurti Pant - Green Tree - XL / Green Tree,23,15,0,0
Sleek Kurti Pant - White - XL / White,23,57,0,0
Solid Night Pant - Black - 2XL / Black,23,126,0,0
Textured Night Pant - Belgian Cocoa - M / Belgian Cocoa,23,43,0,0
Textured Night Pant - Green Smoke - M / Green Smoke,23,37,0,0
Viscose Ankle Legging - Parrot Green - L / Parrot Green,23,3,0,0
Viscose Ankle Legging - Sugar Cookie - XL / Sugar Cookie,23,20,0,0
Viscose Churidar Legging - Pink Shock - L / Pink Shock,23,4,0,0
Viscose Churidar Legging - Sea Port - 3XL / Sea Port,23,17,0,0
Viscose Churidar Legging - Vanilla - XL / Vanilla,23,20,0,0
Cotton Ankle Legging - Pumpkin Puree - 2XL / Pumpkin Puree,22,9,0,0
Cotton Kurti Pant - Creme De La Creme - M / Creme De La Creme,22,41,0,0
Cotton Stretch Straight Pant - Cherry Berry - L / Cherry Berry,22,22,0,0
Cotton Stretch Straight Pant - Deep Navy - L / Deep Navy,22,10,0,0
Flexi Kurti Pant - Olive - XL / Olive,22,51,0,0
Floral Printed Co-ord Set - Aqua Loungewear - L / Aquifer,22,3,0,0
High Neck Graphic Tee - Lime Green - L / Lime Green,22,3,0,0
Kids Cotton Capri Legging - Mehandi Maroon - 22 / Mehandi Maroon,22,0,0,0
Kids Cotton Capri Legging - Pearl White - 36 / Pearl White,22,22,0,0
Linen Straight Pant - Navy - 2XL / Navy,22,19,0,0
Metallic Straight Pant - Pine Tree - M / Pine Tree,22,15,0,0
Oversize Tee – Pale Blue - L / Pale Blue,22,7,0,0
Rainbow Printed Co-ord Set - Jet Black - 2XL / Jet Black,22,19,0,0
Relaxed fit tee - Dusty Brown - XL / Dusty Brown,22,34,0,0
Shimmer Legging - Navy Gloss - L / Navy Gloss,22,32,0,0
Sleek Kurti Pant - Lip Stick - 3XL / Lip Stick,22,62,0,0
Solid Night Shorts - Black - S / Black,22,5,0,0
Solid Wide Leg Palazzo - Pink Paradise - M / Pink Paradise,22,10,0,0
Solid Wrinkle Dress - Spanish Rose - 3XL / Spanish Rose,22,0,0,0
Solid Wrinkle Dress - Spanish Rose - XL / Spanish Rose,22,9,0,0
Striped Palazzo - White - 3XL / White,22,3,0,0
Textured Pant Co-ord Set - Berry Crush - 2XL / Berry Crush,22,64,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Olive Green - 2XL / Olive Green,22,20,0,0
Viscose Ankle Legging - ArcticTurq - 2XL / ArcticTurq,22,6,0,0
Viscose Ankle Legging - Beauty Berry - M / Beauty Berry,22,14,0,0
Viscose Ankle Legging - Dark Chocolate - M / Dark Chocolate,22,12,0,0
Viscose Churidar Legging - Sand Storm - M / Sand Storm,22,2,0,0
Viscose Kurti Pant - Lipstick - L / Lipstick,22,27,0,0
Viscose Kurti Pant - PoolSide - 3XL / PoolSide,22,136,0,0
Women Wide Jean - Miami 90 - M / Miami 90,22,7,0,0
Bow Printed Collared Co-ord Set- Rosette - XS / Rosette,21,0,0,0
Cami with Adjuster - Carbon Black - 80 / Carbon Black,21,6,0,0
Cotton Ankle Legging - Robin Blue - 2XL / Robin Blue,21,3,0,0
Cotton Ankle Legging - Rose Gold - XL / Rose Gold,21,16,0,0
Cotton Churidar Legging - Anthrazite Grey - 3XL / Anthrazite Grey,21,34,0,0
Cotton Churidar Legging - Emerald Lexus - 2XL / Emerald Lexus,21,7,0,0
Cotton Churidar Legging - Fired Up - 3XL / Fired Up,21,18,0,0
Cotton Churidar Legging - Lemonade - L / Lemonade,21,6,0,0
Cotton Stretch Straight Pant - Bubble Gum - 2XL / Bubble Gum,21,32,0,0
High Neck Graphic Tee - Cream,21,2,0,0
High Waist Denim Jeans - Boston 000 - L / Boston 000,21,46,0,0
Hoodie - Off White,21,0,0,0
Kids Cotton Ankle Legging - 22 / Carbon Black,21,20,0,0
Kids Cotton Ankle Legging - Lip Stick - 24 / Lip Stick,21,1,0,0
Kids Secura shorts - Anthrazite Grey - M / Anthrazite Grey,21,10,0,0
Koala Solid Pant Co-ord - Dark Grape - XS / Dark Grape,21,0,0,0
Rabbit printed Night Pants - Misty Blue Ash - L / Misty Blue Ash,21,8,0,0
Regular Fit Track Pant Mehandi Maroon,21,1,0,0
Saree Shaper - Peri Twinkle - 5XL / Peri Twinkle / Regular - Upto 5'4,21,0,0,0
Shimmer Legging - Milky Way - 2XL / Milky Way,21,103,0,0
Shimmer Legging - Pink Champagne - M / Pink Champagne,21,32,0,0
Shimmer Legging - Sugar Cookie - 2XL / Sugar Cookie,21,35,0,0
Shimmer Legging - Valentine - XL / Valentine,21,36,0,0
Shrug High Low - Dusty Pink - XL / Dusty Pink,21,9,0,0
Sleek Spaghetti Cami With Adjuster - Black - L / Black,21,14,0,0
Slim Fit Signature Tee - Pearl White - L / Pearl White,21,2,0,0
Solid Night Pant - Black - L / Black,21,63,0,0
Solid Pant Co-ord - Mauve Wood - L / Mauve Wood,21,12,0,0
Solid Wrinkle Dress - Mehandi Maroon - L / Mehandi Maroon,21,5,0,0
Strawberry Printed Striped  Co-ord Set - Salsa Rosa - L / Salsa Rosa,21,8,0,0
Textured Night Pant - Merlot - M / Merlot,21,17,0,0
Textured Pant Co-ord Set - Jet Black - S / Jet Black,21,18,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Laser Blue - XL / Laser Blue,21,4,0,0
Viscose Ankle Legging - Bumble Bee - 3XL / Bumble Bee,21,5,0,0
Viscose Churidar Legging - Beauty Berry - 2XL / Beauty Berry,21,17,0,0
Viscose Churidar Legging - Blue Ocean - 3XL / Blue Ocean,21,10,0,0
Viscose Churidar Legging - Bumble Bee - M / Bumble Bee,21,4,0,0
Viscose Churidar Legging - Pistachio - L / Pistachio,21,5,0,0
Viscose Churidar Legging - Sand Storm - XL / Sand Storm,21,1,0,0
Viscose Churidar Legging - Steel Grey - L / Steel Grey,21,8,0,0
